日期,收盘价,净值,估值,溢价率
3/24/2025,1.4600,1.3931,31.9241,6.9519%
3/25/2025,1.4780,1.3992,32.1379,5.9802%
3/26/2025,1.4690,1.3616,31.2207,4.9736%
3/27/2025,1.4290,1.3434,30.8702,5.0658%
3/28/2025,1.4150,1.3047,29.8840,5.4239%
3/31/2025,1.3550,1.3026,29.8542,4.0227%
4/1/2025,1.3860,1.3160,30.2307,6.4516%
4/2/2025,1.4060,1.3232,30.3309,6.7578%
4/3/2025,1.3670,1.2384,28.3528,3.3024%
4/7/2025,1.2300,1.1802,26.9070,6.2727%
4/8/2025,1.2560,1.1597,26.3547,6.9027%
4/9/2025,1.2500,1.3165,29.9869,8.0100%
4/10/2025,1.3750,1.2541,28.5930,3.5860%
4/11/2025,1.3600,1.2814,29.3279,8.8261%
4/14/2025,1.3960,1.2852,29.4703,8.7820%
4/15/2025,1.3710,1.2858,29.4029,6.6843%
4/16/2025,1.3310,1.2427,28.2401,3.4912%
4/17/2025,1.3410,1.2337,28.0177,8.2150%
4/18/2025,1.3260,1.2335,28.0178,7.4554%
4/21/2025,1.3190,1.2024,27.2676,6.9142%
4/22/2025,1.3200,1.2314,27.9865,9.9542%
4/23/2025,1.3710,1.2683,28.7944,11.1742%
4/24/2025,1.3450,1.3128,28.6943,5.8972%
4/25/2025,1.3940,1.3344,29.2085,5.9190%
4/28/2025,1.3990,1.3309,29.1130,4.6764%
4/29/2025,1.3970,1.3346,29.1717,4.9429%
4/30/2025,1.3930,1.3358,28.7392,4.3368%
5/6/2025,1.4150,1.3666,29.6235,2.3434%
5/7/2025,1.4200,1.3664,29.3124,3.7405%
5/8/2025,1.4410,1.3837,29.6546,5.4596%
5/9/2025,1.4340,1.3823,29.5762,3.6502%
5/12/2025,1.4650,1.4460,30.9853,6.0135%
5/13/2025,1.4820,1.4774,31.6391,2.1787%
5/14/2025,1.5410,1.4923,32.1349,4.0583%
5/15/2025,1.5300,1.4856,31.9312,2.4165%
5/16/2025,1.5250,1.4871,32.0221,2.7074%
5/19/2025,1.5030,1.4877,32.0377,1.0216%
5/20/2025,1.5220,1.4812,31.8207,2.2849%
5/21/2025,1.5030,1.4657,31.5871,1.5403%
5/22/2025,1.5040,1.4683,31.6908,2.7182%
5/23/2025,1.4930,1.4523,31.2681,1.6268%
5/26/2025,1.5040,1.4505,31.2681,3.6527%
5/27/2025,1.5220,1.4861,32.1509,4.7993%
5/28/2025,1.5390,1.4823,31.8353,3.4344%
5/29/2025,1.5710,1.4884,31.9587,6.0197%
5/30/2025,1.5340,1.4844,31.8574,3.0498%
6/3/2025,1.5430,1.5141,32.4103,2.8187%
6/4/2025,1.5570,1.5245,32.6261,2.7384%
6/5/2025,1.5550,1.5179,32.3595,1.9873%
6/6/2025,1.5580,1.5305,32.7892,2.6418%
6/9/2025,1.5600,1.5363,32.9233,1.8476%
6/10/2025,1.5590,1.5476,33.1828,1.4710%
6/11/2025,1.5640,1.5458,33.0539,0.9944%
6/12/2025,1.5580,1.5505,33.1508,0.7566%
6/13/2025,1.5420,1.5260,32.6725,-0.5867%
6/16/2025,1.5570,1.5523,33.2017,2.0783%
6/17/2025,1.5610,1.5408,32.9823,0.4828%
6/18/2025,1.5580,1.5413,32.9627,1.0966%
6/19/2025,1.5430,1.5406,32.9627,0.1298%
6/20/2025,1.5420,1.5269,32.6137,0.0454%
6/23/2025,1.5330,1.5406,32.8534,0.4192%
6/24/2025,1.5720,1.5665,33.3807,1.9852%
6/25/2025,1.5720,1.5823,33.8334,0.1721%
6/26/2025,1.5940,1.5962,34.0749,0.7140%
6/27/2025,1.6310,1.5999,34.3020,2.0715%
6/30/2025,1.6570,1.6115,34.4866,3.5625%
7/1/2025,1.6340,1.5883,34.0500,1.3082%
7/2/2025,1.6470,1.6062,34.4594,3.6566%
7/3/2025,1.6640,1.6237,34.8206,3.5857%
7/4/2025,1.6640,1.6239,34.8206,2.4189%
7/7/2025,1.6620,1.6112,34.5219,2.3588%
7/8/2025,1.6750,1.6158,34.5388,3.9275%
7/9/2025,1.6650,1.6326,34.9524,3.0768%
7/10/2025,1.6830,1.6293,34.9586,3.0618%
7/11/2025,1.6900,1.6264,34.9924,3.6873%
7/14/2025,1.6840,1.6290,35.0149,3.4907%
7/15/2025,1.7250,1.6421,35.3537,5.9062%
7/16/2025,1.7150,1.6440,35.2994,4.4204%
7/17/2025,1.7460,1.6544,35.5448,6.2432%
7/18/2025,1.7460,1.6547,35.5408,5.3966%
7/21/2025,1.7650,1.6662,35.8346,6.7368%
7/22/2025,1.7660,1.6482,35.5191,5.9960%
7/23/2025,1.7720,1.6552,35.2307,7.4525%
7/24/2025,1.7720,1.6653,35.5745,6.9725%
7/25/2025,1.7580,1.6704,35.6652,5.5032%
7/28/2025,1.7720,1.6829,35.8666,6.1205%
7/29/2025,1.7720,1.6813,35.8163,5.3445%
7/30/2025,1.7650,1.6852,35.4187,5.0470%
7/31/2025,1.8070,1.6856,34.7936,7.1196%
8/1/2025,1.7730,1.6523,34.0580,5.2725%
8/4/2025,1.7560,1.6885,34.8471,6.3662%
8/5/2025,1.8080,1.6751,34.5367,6.8242%
8/6/2025,1.7990,1.6988,34.9143,7.3838%
8/7/2025,1.8220,1.7042,35.0811,7.2522%
8/8/2025,1.8220,1.7255,35.6123,6.7995%
8/11/2025,1.8580,1.7175,35.4644,7.6789%
8/12/2025,1.8690,1.7470,36.0091,8.8844%
8/13/2025,1.9020,1.7412,35.8702,8.8163%
8/14/2025,1.9060,1.7394,35.8868,9.3705%
8/15/2025,1.9210,1.7286,35.7119,10.4213%
8/18/2025,1.8840,1.7242,35.6499,9.0656%
8/19/2025,1.8650,1.6919,34.9870,8.0971%
8/20/2025,1.8400,1.6795,34.6712,8.8951%
8/21/2025,1.8560,1.6717,34.5441,10.5815%
8/22/2025,1.8380,1.7011,35.1820,9.8428%
